model,seed,task_mode,missing_indicators,class_id,bin,n,mean_predicted,observed_rate
logistic_regression,44,baseline_only,False,1,5,13,0.5571281153822344,0.7692307692307693
logistic_regression,44,baseline_only,False,1,6,6,0.674083048410187,1.0
logistic_regression,44,baseline_only,False,1,7,17,0.7447348069905368,0.8235294117647058
logistic_regression,44,baseline_only,False,1,8,27,0.8566646820766283,0.925925925925926
logistic_regression,44,baseline_only,False,1,9,100,0.9705722445975532,0.97
logistic_regression,44,baseline_only,False,2,0,244,0.008580445894637,0.0122950819672131
logistic_regression,44,baseline_only,False,2,1,13,0.1294979480749463,0.1538461538461538
logistic_regression,44,baseline_only,False,2,2,10,0.2584335449102429,0.2
logistic_regression,44,baseline_only,False,2,3,4,0.3317610813890301,0.0
logistic_regression,44,baseline_only,False,2,4,5,0.4417029404091005,0.2
logistic_regression,44,baseline_only,False,2,5,3,0.5345785687493961,0.3333333333333333
logistic_regression,44,baseline_only,False,2,6,4,0.6317884727139178,0.25
logistic_regression,44,baseline_only,False,2,7,3,0.7073395500770693,0.6666666666666666
logistic_regression,44,baseline_only,False,2,8,6,0.8516281620001412,0.6666666666666666
logistic_regression,44,baseline_only,False,2,9,54,0.9822626002811966,0.9629629629629628
